姓名,学号,语文,数学,英语,理综,考试日期
李浩然,G20240101,118,142,135,278,2024/10/12
张雅琪,G20240102,125,138,141,265,2024/10/12
王梓轩,G20240103,98,150,122,282,2024/10/12
陈雨欣,G20240104,132,115,138,-5,2024/10/12
赵宇恒,G20240105,105,129,,256,2024/10/12
刘思涵,G20240106,121,103,129,248,2024/10/12
孙博文,G20240107,89,136,118,271,2024/10/12
周佳怡,G20240108,119,124,143,262,2024/10/12
吴昊然,G20240109,108,117,125,285,2024/10/12
郑晓萱,G20240110,128,96,132,251,2024/10/12
马子轩,G20240111,102,131,116,269,2024/10/12
杨雨桐,G20240112,115,127,139,275,2024/10/12
朱俊豪,G20240113,95,145,109,280,2024/10/12
胡欣怡,G20240114,123,112,134,,2024/10/12
林浩然,G20240115,109,133,127,259,2024/10/12
郭雨菲,G20240201,116,128,136,268,2024/10/18
何宇轩,G20240202,103,141,121,279,2024/10/18
高思涵,G20240203,129,108,140,253,2024/10/18
罗博文,G20240204,91,137,117,283,2024/10/18
梁佳怡,G20240205,120,123,133,264,2024/10/18
宋昊然,G20240206,107,119,126,273,2024/10/18
韩晓萱,G20240207,126,99,131,255,2024/10/18
丁子轩,G20240208,101,132,115,270,2024/10/18
徐雨桐,G20240209,114,126,138,276,2024/10/18
程俊豪,G20240210,94,146,110,281,2024/10/18
袁欣怡,G20240211,122,111,135,258,2024/10/18
邓浩然,G20240212,108,134,128,261,2024/10/18
许雨菲,G20240213,117,129,137,160,2024/10/18
彭宇轩,G20240214,104,142,,277,2024/10/18
吕思涵,G20240215,130,107,142,254,2024/10/18
石博文,G20240301,90,138,116,284,2024/10/12
崔佳怡,G20240302,119,124,132,266,2024/10/12
樊昊然,G20240303,106,120,125,274,2024/10/12
薛晓萱,G20240304,127,98,130,252,2024/10/12
魏子轩,G20240305,100,133,114,272,2024/10/12
蒋雨桐,G20240306,113,125,139,278,2024/10/12
蔡俊豪,G20240307,93,147,108,286,2024/10/12
潘欣怡,G20240308,121,110,134,257,2024/10/12
于浩然,G20240309,109,135,129,260,2024/10/12
杜雨菲,G20240310,118,130,138,165,2024/10/12
沈宇轩,G20240311,105,143,120,279,2024/10/12
姜思涵,G20240312,131,106,143,,2024/10/12
范博文,G20240313,88,139,115,283,2024/10/12
陆佳怡,G20240314,120,122,131,263,2024/10/12
金昊然,G20240315,107,121,124,275,2024/10/12
秦晓萱,G20240316,125,97,133,256,2024/10/18
侯子轩,G20240317,101,134,113,271,2024/10/18
孟雨桐,G20240318,114,126,136,277,2024/10/18
尹俊豪,G20240319,92,148,107,287,2024/10/18
章欣怡,G20240320,122,109,,258,2024/10/18
